dataset,pair_dir,image_file,mask_file,shape_h,shape_w,spacing_x,spacing_y,intensity_min,intensity_max,intensity_mean,intensity_std,intensity_median,intensity_p01,intensity_p05,intensity_p25,intensity_p75,intensity_p95,intensity_p99,intensity_iqr,dynamic_range_p99_p01,zero_fraction,grad_mag_mean,grad_mag_std,entropy_256,lung_mask_available,lung_fraction,lung_intensity_mean,lung_intensity_std
pairs_1_98,pair38,C_D1.nii.gz,C_D1_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,131.74525451660156,54.380950927734375,136.0,0.0,23.0,98.0,173.0,211.0,221.0,75.0,221.0,0.025341457790798612,2.3728537559509277,3.1834051609039307,7.574719408515252,1.0,0.2421908908420139,116.7857894897461,40.88373947143555
pairs_1_98,pair38,C_D2.nii.gz,C_D2_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,146.09869384765625,50.11561965942383,155.0,2.0,54.0,113.0,184.0,213.0,225.0,71.0,223.0,0.0092926025390625,2.341925621032715,3.4833645820617676,7.52526497660805,1.0,0.4766760932074653,132.78408813476562,44.403167724609375
pairs_1_98,pair39,37A.nii.gz,37A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,163.637451171875,64.10037994384766,195.0,0.0,0.0,142.0,207.0,218.0,228.0,65.0,228.0,0.05740525987413195,3.5541086196899414,7.745762825012207,6.892131044558827,1.0,0.2269168429904514,176.91400146484375,33.01561737060547
pairs_1_98,pair39,37B.nii.gz,37B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,147.40548706054688,43.271427154541016,157.0,38.0,60.0,122.0,178.0,206.0,214.0,56.0,176.0,9.494357638888889e-05,3.181647300720215,5.771533012390137,7.314679649408374,1.0,0.348968505859375,123.07952880859375,44.62359619140625
pairs_1_98,pair40,13A.nii.gz,13A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,142.31434631347656,46.572200775146484,144.0,3.0,54.0,116.0,180.0,206.0,220.0,64.0,217.0,0.007921006944444444,3.0147643089294434,5.772594451904297,7.4366780686394645,1.0,0.3246866861979167,112.86308288574219,37.28110122680664
pairs_1_98,pair40,13B.nii.gz,13B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,132.78369140625,57.8560791015625,135.0,0.0,7.0,98.0,182.0,213.0,227.0,84.0,227.0,0.042073567708333336,2.205579996109009,6.1236796379089355,7.522553556895414,1.0,0.2271948920355903,104.75728607177734,31.282724380493164
pairs_1_98,pair41,C_Q1.nii.gz,C_Q1_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,125.87688446044922,63.315921783447266,138.0,0.0,0.0,92.0,171.0,212.0,219.0,79.0,219.0,0.1097293429904514,2.633110284805298,4.063179969787598,7.166859345621351,1.0,0.3948262532552083,134.9589080810547,39.40464401245117
pairs_1_98,pair41,C_Q2.nii.gz,C_Q2_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,140.0009002685547,53.54107666015625,145.0,0.0,37.0,106.0,181.0,216.0,228.0,75.0,228.0,0.039388020833333336,2.797604560852051,3.7765884399414062,7.449059677747,1.0,0.5056542290581597,134.47784423828125,41.35445785522461
pairs_1_98,pair42,22A.nii.gz,22A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,92.02650451660156,88.7821273803711,90.0,0.0,0.0,0.0,172.0,254.0,255.0,172.0,255.0,0.3980662027994792,3.831882953643799,13.119881629943848,5.307953865526022,1.0,0.1705864800347222,114.38240814208984,40.4332160949707
pairs_1_98,pair42,22B.nii.gz,22B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,83.47474670410156,82.55683135986328,83.0,0.0,0.0,0.0,139.0,254.0,255.0,139.0,255.0,0.3850487603081597,3.82875919342041,13.207823753356934,5.42789668191033,1.0,0.17544047037760416,106.1116714477539,37.242645263671875
